id,file,vehicles,depots,garages,stations,products,changeover_cost_level,capacity_level,demand_level,stock_level,demand_probability,coordinate_strategy
062,MPVRP_062_s23_d8_p2.dat,2,8,2,23,2,normal,mixed,high,medium,0.751,corridor
063,MPVRP_063_s23_d5_p4.dat,1,5,2,23,4,normal,large,mixed,low,0.89,clustered
064,MPVRP_064_s18_d2_p1.dat,4,2,3,18,1,high,large,medium,mixed,0.452,uniform
065,MPVRP_065_s15_d8_p5.dat,4,8,4,15,5,mixed,low,high,low,0.61,uniform
066,MPVRP_066_s7_d4_p2.dat,8,4,3,7,2,high,mixed,high,low,0.846,uniform
067,MPVRP_067_s31_d5_p1.dat,1,5,2,31,1,high,mixed,medium,mixed,0.58,uniform
068,MPVRP_068_s16_d3_p3.dat,5,3,3,16,3,mixed,medium,mixed,low,0.485,corridor
069,MPVRP_069_s36_d7_p4.dat,3,7,5,36,4,high,medium,mixed,mixed,0.515,corridor
070,MPVRP_070_s28_d7_p2.dat,8,7,1,28,2,normal,large,medium,high,0.84,clustered
071,MPVRP_071_s42_d8_p3.dat,1,8,2,42,3,high,large,mixed,low,0.768,corridor
072,MPVRP_072_s17_d2_p1.dat,2,2,5,17,1,low,medium,low,mixed,0.528,corridor
073,MPVRP_073_s11_d8_p2.dat,3,8,5,11,2,mixed,mixed,mixed,high,0.665,corridor
074,MPVRP_074_s19_d3_p3.dat,7,3,3,19,3,normal,medium,mixed,mixed,0.784,corridor
075,MPVRP_075_s14_d3_p5.dat,3,3,5,14,5,normal,medium,low,high,0.687,uniform
076,MPVRP_076_s14_d2_p6.dat,5,2,1,14,6,normal,mixed,mixed,mixed,0.884,clustered
077,MPVRP_077_s19_d5_p4.dat,3,5,1,19,4,normal,medium,medium,high,0.434,corridor
078,MPVRP_078_s48_d4_p3.dat,10,4,5,48,3,low,low,medium,high,0.455,clustered
079,MPVRP_079_s5_d6_p2.dat,2,6,3,5,2,normal,low,mixed,low,0.563,corridor
080,MPVRP_080_s44_d8_p1.dat,7,8,1,44,1,normal,mixed,mixed,low,0.891,corridor
081,MPVRP_081_s8_d1_p4.dat,1,1,5,8,4,mixed,medium,high,medium,0.531,clustered
082,MPVRP_082_s42_d1_p4.dat,9,1,3,42,4,low,mixed,medium,high,0.413,uniform
083,MPVRP_083_s9_d1_p3.dat,10,1,2,9,3,high,low,medium,low,0.857,corridor
084,MPVRP_084_s19_d5_p1.dat,9,5,1,19,1,mixed,large,low,mixed,0.583,clustered
085,MPVRP_085_s43_d5_p2.dat,4,5,3,43,2,normal,low,mixed,high,0.892,corridor
086,MPVRP_086_s33_d2_p2.dat,7,2,4,33,2,low,low,mixed,medium,0.73,clustered
087,MPVRP_087_s42_d3_p2.dat,1,3,2,42,2,mixed,mixed,high,mixed,0.822,uniform
088,MPVRP_088_s17_d2_p3.dat,1,2,2,17,3,low,medium,medium,high,0.49,corridor
089,MPVRP_089_s3_d6_p6.dat,3,6,5,3,6,high,mixed,mixed,mixed,0.792,corridor
090,MPVRP_090_s37_d7_p1.dat,3,7,5,37,1,low,medium,low,low,0.503,uniform
091,MPVRP_091_s32_d7_p4.dat,9,7,5,32,4,high,large,medium,low,0.638,uniform
092,MPVRP_092_s8_d8_p1.dat,7,8,5,8,1,high,medium,low,high,0.801,uniform
093,MPVRP_093_s32_d3_p1.dat,8,3,3,32,1,low,mixed,low,mixed,0.483,uniform
094,MPVRP_094_s34_d6_p5.dat,9,6,5,34,5,low,mixed,mixed,medium,0.748,corridor
095,MPVRP_095_s5_d5_p5.dat,3,5,2,5,5,low,medium,medium,low,0.825,clustered
096,MPVRP_096_s33_d4_p3.dat,6,4,2,33,3,low,mixed,high,low,0.639,uniform
097,MPVRP_097_s20_d8_p3.dat,3,8,1,20,3,low,medium,mixed,high,0.536,clustered
098,MPVRP_098_s16_d2_p1.dat,3,2,3,16,1,mixed,mixed,mixed,mixed,0.881,uniform
099,MPVRP_099_s32_d6_p6.dat,5,6,2,32,6,low,low,medium,mixed,0.879,uniform
100,MPVRP_100_s6_d8_p3.dat,1,8,1,6,3,high,large,low,mixed,0.834,uniform
101,MPVRP_101_s20_d2_p5.dat,9,2,4,20,5,normal,mixed,high,low,0.809,corridor
102,MPVRP_102_s32_d8_p5.dat,10,8,5,32,5,low,medium,high,low,0.458,uniform
103,MPVRP_103_s12_d8_p4.dat,4,8,1,12,4,low,mixed,high,high,0.843,corridor
104,MPVRP_104_s40_d5_p6.dat,8,5,1,40,6,low,low,low,low,0.733,clustered
105,MPVRP_105_s33_d2_p3.dat,7,2,5,33,3,mixed,medium,high,mixed,0.898,uniform
106,MPVRP_106_s36_d6_p6.dat,5,6,1,36,6,high,mixed,high,high,0.853,corridor
107,MPVRP_107_s17_d2_p1.dat,7,2,1,17,1,low,mixed,medium,mixed,0.712,corridor
108,MPVRP_108_s41_d6_p2.dat,3,6,1,41,2,normal,mixed,low,high,0.401,uniform
109,MPVRP_109_s30_d5_p6.dat,7,5,2,30,6,normal,large,low,low,0.553,corridor
110,MPVRP_110_s46_d7_p5.dat,9,7,4,46,5,low,large,low,high,0.877,uniform
111,MPVRP_111_s5_d4_p2.dat,6,4,2,5,2,mixed,large,mixed,medium,0.473,corridor
112,MPVRP_112_s29_d7_p6.dat,3,7,2,29,6,normal,mixed,low,low,0.631,clustered
113,MPVRP_113_s16_d5_p1.dat,8,5,5,16,1,low,low,high,mixed,0.683,uniform
114,MPVRP_114_s4_d6_p1.dat,5,6,2,4,1,normal,large,mixed,medium,0.817,clustered
115,MPVRP_115_s30_d8_p1.dat,7,8,5,30,1,mixed,low,mixed,low,0.534,clustered
116,MPVRP_116_s31_d8_p2.dat,7,8,1,31,2,low,low,high,low,0.636,uniform
117,MPVRP_117_s4_d1_p2.dat,2,1,5,4,2,high,low,high,high,0.747,corridor
118,MPVRP_118_s4_d5_p6.dat,9,5,2,4,6,high,medium,medium,mixed,0.564,clustered
119,MPVRP_119_s36_d1_p2.dat,10,1,5,36,2,high,low,medium,high,0.808,clustered
120,MPVRP_120_s43_d2_p6.dat,5,2,5,43,6,normal,large,low,medium,0.671,uniform
121,MPVRP_121_s14_d7_p4.dat,6,7,4,14,4,normal,low,low,medium,0.609,uniform
122,MPVRP_122_s39_d5_p2.dat,5,5,3,39,2,high,large,high,mixed,0.699,clustered
123,MPVRP_123_s50_d4_p2.dat,9,4,2,50,2,low,large,low,low,0.512,clustered
124,MPVRP_124_s42_d8_p4.dat,3,8,1,42,4,normal,low,low,mixed,0.879,uniform
125,MPVRP_125_s32_d8_p1.dat,1,8,5,32,1,low,medium,high,mixed,0.868,clustered
126,MPVRP_126_s48_d8_p6.dat,3,8,3,48,6,low,mixed,medium,medium,0.667,corridor
127,MPVRP_127_s4_d2_p1.dat,6,2,4,4,1,low,medium,medium,medium,0.573,corridor
128,MPVRP_128_s28_d7_p6.dat,5,7,1,28,6,high,low,mixed,medium,0.73,uniform
129,MPVRP_129_s49_d7_p3.dat,10,7,4,49,3,normal,medium,medium,mixed,0.815,corridor
130,MPVRP_130_s16_d7_p5.dat,7,7,5,16,5,normal,low,high,high,0.505,corridor
131,MPVRP_131_s28_d3_p4.dat,9,3,3,28,4,mixed,low,mixed,medium,0.785,corridor
132,MPVRP_132_s37_d8_p6.dat,9,8,5,37,6,mixed,mixed,low,high,0.429,uniform
133,MPVRP_133_s35_d4_p2.dat,7,4,4,35,2,high,medium,low,medium,0.612,uniform
134,MPVRP_134_s11_d3_p2.dat,3,3,1,11,2,normal,large,high,low,0.652,clustered
135,MPVRP_135_s48_d8_p3.dat,3,8,2,48,3,normal,large,mixed,mixed,0.554,clustered
136,MPVRP_136_s15_d1_p6.dat,8,1,1,15,6,low,low,mixed,low,0.884,clustered
137,MPVRP_137_s30_d2_p4.dat,9,2,1,30,4,low,large,mixed,medium,0.533,uniform
138,MPVRP_138_s49_d8_p1.dat,2,8,4,49,1,mixed,mixed,low,low,0.772,uniform
139,MPVRP_139_s38_d1_p4.dat,5,1,2,38,4,high,large,medium,medium,0.557,uniform
140,MPVRP_140_s42_d2_p3.dat,6,2,2,42,3,low,large,mixed,low,0.867,corridor
141,MPVRP_141_s33_d6_p4.dat,7,6,3,33,4,low,mixed,mixed,mixed,0.816,clustered
142,MPVRP_142_s19_d2_p6.dat,8,2,5,19,6,low,large,high,medium,0.425,corridor
143,MPVRP_143_s46_d8_p2.dat,5,8,4,46,2,mixed,large,medium,low,0.627,clustered
144,MPVRP_144_s25_d5_p1.dat,7,5,2,25,1,low,large,medium,mixed,0.523,uniform
145,MPVRP_145_s36_d7_p5.dat,4,7,2,36,5,normal,medium,mixed,low,0.486,corridor
146,MPVRP_146_s12_d1_p1.dat,9,1,3,12,1,low,low,mixed,high,0.686,uniform
147,MPVRP_147_s8_d2_p1.dat,6,2,5,8,1,high,mixed,medium,low,0.694,clustered
148,MPVRP_148_s19_d4_p4.dat,10,4,5,19,4,low,large,medium,low,0.742,clustered
149,MPVRP_149_s3_d5_p1.dat,3,5,3,3,1,normal,medium,high,mixed,0.598,clustered
150,MPVRP_150_s40_d6_p6.dat,3,6,4,40,6,low,medium,medium,low,0.758,corridor
