id,file,vehicles,depots,garages,stations,products,changeover_cost_level,capacity_level,demand_level,stock_level,demand_probability,coordinate_strategy
056,MPVRP_056_s23_d8_p3.dat,2,8,2,23,3,normal,mixed,low,high,0.751,corridor
057,MPVRP_057_s23_d5_p4.dat,1,5,2,23,4,mixed,medium,low,medium,0.89,clustered
058,MPVRP_058_s18_d2_p2.dat,4,2,3,18,2,high,large,mixed,low,0.452,uniform
059,MPVRP_059_s15_d8_p5.dat,4,8,4,15,5,high,low,medium,medium,0.61,uniform
060,MPVRP_060_s7_d4_p3.dat,8,4,3,7,3,mixed,low,medium,high,0.846,uniform
061,MPVRP_061_s31_d5_p2.dat,1,5,2,31,2,normal,medium,high,mixed,0.58,uniform
062,MPVRP_062_s16_d3_p3.dat,5,3,3,16,3,mixed,medium,low,low,0.485,corridor
063,MPVRP_063_s36_d7_p4.dat,3,7,5,36,4,normal,medium,mixed,high,0.515,corridor
064,MPVRP_064_s28_d7_p3.dat,8,7,1,28,3,mixed,medium,mixed,high,0.84,clustered
065,MPVRP_065_s42_d8_p3.dat,1,8,2,42,3,high,large,medium,medium,0.768,corridor
066,MPVRP_066_s17_d2_p2.dat,2,2,5,17,2,high,large,high,high,0.528,corridor
067,MPVRP_067_s11_d8_p3.dat,3,8,5,11,3,high,mixed,medium,medium,0.665,corridor
068,MPVRP_068_s19_d3_p3.dat,7,3,3,19,3,mixed,mixed,high,medium,0.784,corridor
069,MPVRP_069_s14_d3_p5.dat,3,3,5,14,5,normal,large,mixed,medium,0.687,uniform
070,MPVRP_070_s14_d2_p6.dat,5,2,1,14,6,high,mixed,medium,high,0.884,clustered
071,MPVRP_071_s19_d5_p4.dat,3,5,1,19,4,high,large,medium,high,0.434,corridor
072,MPVRP_072_s48_d4_p3.dat,10,4,5,48,3,high,low,high,medium,0.455,clustered
073,MPVRP_073_s5_d6_p3.dat,2,6,3,5,3,mixed,medium,medium,low,0.563,corridor
074,MPVRP_074_s44_d8_p2.dat,7,8,1,44,2,mixed,low,medium,mixed,0.891,corridor
075,MPVRP_075_s8_d1_p5.dat,1,1,5,8,5,normal,large,mixed,low,0.531,clustered
076,MPVRP_076_s42_d1_p5.dat,9,1,3,42,5,high,mixed,mixed,high,0.413,uniform
077,MPVRP_077_s9_d1_p3.dat,10,1,2,9,3,high,mixed,high,mixed,0.857,corridor
078,MPVRP_078_s9_d7_p3.dat,10,7,3,9,3,mixed,mixed,high,low,0.583,clustered
079,MPVRP_079_s25_d3_p6.dat,7,3,3,25,6,normal,low,high,high,0.63,corridor
080,MPVRP_080_s33_d6_p5.dat,6,6,2,33,5,mixed,mixed,mixed,medium,0.73,clustered
081,MPVRP_081_s21_d1_p6.dat,8,1,2,21,6,normal,mixed,medium,high,0.833,uniform
082,MPVRP_082_s12_d1_p3.dat,2,1,1,12,3,mixed,mixed,low,high,0.49,corridor
083,MPVRP_083_s42_d2_p2.dat,9,2,4,42,2,high,low,high,high,0.628,uniform
084,MPVRP_084_s41_d2_p5.dat,10,2,4,41,5,normal,medium,medium,low,0.503,clustered
085,MPVRP_085_s47_d7_p5.dat,3,7,4,47,5,mixed,medium,high,low,0.757,uniform
086,MPVRP_086_s50_d6_p2.dat,2,6,5,50,2,mixed,large,medium,low,0.801,clustered
087,MPVRP_087_s30_d6_p5.dat,3,6,2,30,5,mixed,mixed,medium,medium,0.76,uniform
088,MPVRP_088_s50_d8_p5.dat,2,8,4,50,5,mixed,low,low,low,0.748,uniform
089,MPVRP_089_s14_d2_p2.dat,4,2,3,14,2,normal,low,high,low,0.436,corridor
090,MPVRP_090_s13_d5_p5.dat,5,5,2,13,5,normal,mixed,high,mixed,0.639,corridor
091,MPVRP_091_s4_d2_p3.dat,8,2,5,4,3,high,low,medium,mixed,0.474,clustered
092,MPVRP_092_s30_d2_p3.dat,7,2,2,30,3,normal,medium,low,high,0.881,clustered
093,MPVRP_093_s20_d4_p5.dat,6,4,4,20,5,high,mixed,mixed,medium,0.74,corridor
094,MPVRP_094_s4_d1_p2.dat,4,1,5,4,2,high,large,mixed,medium,0.834,corridor
095,MPVRP_095_s36_d7_p3.dat,2,7,1,36,3,high,medium,medium,high,0.644,corridor
096,MPVRP_096_s47_d8_p5.dat,6,8,5,47,5,mixed,low,mixed,medium,0.458,uniform
097,MPVRP_097_s9_d4_p2.dat,1,4,5,9,2,normal,large,mixed,high,0.628,corridor
098,MPVRP_098_s4_d7_p5.dat,5,7,3,4,5,high,large,high,medium,0.733,uniform
099,MPVRP_099_s48_d6_p5.dat,4,6,1,48,5,mixed,medium,low,high,0.743,clustered
100,MPVRP_100_s11_d4_p5.dat,8,4,4,11,5,high,medium,high,medium,0.853,uniform
